codgeo,libgeo,zonage_rur
02039,Autremencourt,tr3
02040,Autreppes,tr1
02041,Autreville,tr2
02042,Azy-sur-Marne,tr3
02043,Bagneux,tr3
02044,Bancigny,tr1
02046,Barenton-Bugny,tr4
02047,Barenton-Cel,tr4
02048,Barenton-sur-Serre,tr3
02049,Barisis-aux-Bois,tr2
02050,Barzy-en-Thiérache,tr2
02051,Barzy-sur-Marne,tr2
02052,Bassoles-Aulers,tr3
02053,Vallées en Champagne,tr1
02054,Bazoches-sur-Vesles,tr4
02055,Beaumé,tr1
02056,Beaumont-en-Beine,tr1
02057,Beaurevoir,tr3
02058,Beaurieux,tr3
02059,Beautor,tr5
02060,Beauvois-en-Vermandois,tr3
02061,Becquigny,tr2
02062,Belleau,tr3
02063,Bellenglise,tr4
02064,Belleu,tr5
02065,Bellicourt,tr4
02066,Benay,tr4
02067,Bergues-sur-Sambre,tr1
02068,Berlancourt,tr1
02069,Berlise,tr1
02070,Bernot,tr3
02071,Berny-Rivière,tr3
02072,Berrieux,tr3
02073,Berry-au-Bac,tr4
02074,Bertaucourt-Epourdon,tr3
02075,Berthenicourt,tr4
02076,Bertricourt,tr4
02077,Berzy-le-Sec,tr4
02078,Besmé,tr1
02079,Besmont,tr1
02080,Besny-et-Loizy,tr4
02081,Béthancourt-en-Vaux,tr2
02082,Beugneux,tr1
02083,Beuvardes,tr2
02084,Bézu-le-Guéry,tr4
02085,Bézu-Saint-Germain,tr2
02086,Bichancourt,tr2
02087,Bieuxy,tr4
02088,Bièvres,tr3
02089,Billy-sur-Aisne,tr4
02090,Billy-sur-Ourcq,tr3
02091,Blanzy-lès-Fismes,tr3
02093,Blérancourt,tr2
02094,Blesmes,tr5
02095,Bohain-en-Vermandois,tr5
02096,Bois-lès-Pargny,tr3
02097,Boncourt,tr1
02098,Bonneil,tr2
02099,Bonnesvalyn,tr1
02100,Bony,tr3
02101,Bosmont-sur-Serre,tr1
02102,Bouconville-Vauclair,tr3
02103,Boué,tr2
02104,Bouffignereux,tr4
02105,Bouresches,tr3
02106,Bourg-et-Comin,tr3
02107,Bourguignon-sous-Coucy,tr1
02108,Bourguignon-sous-Montbavin,tr4
02109,La Bouteille,tr2
02110,Braine,tr2
02111,Brancourt-en-Laonnois,tr2
02112,Brancourt-le-Grand,tr3
02114,Brasles,tr5
02115,Braye-en-Laonnois,tr1
02116,Braye-en-Thiérache,tr1
02117,Bray-Saint-Christophe,tr3
02118,Braye,tr4
02119,Brécy,tr2
02120,Brenelle,tr3
02121,Breny,tr1
02122,Brie,tr4
02123,Brissay-Choigny,tr3
02124,Brissy-Hamégicourt,tr4
02125,Brumetz,tr4
02126,Brunehamel,tr2
02127,Bruyères-sur-Fère,tr1
02128,Bruyères-et-Montbérault,tr4
02129,Bruys,tr3
02130,Bucilly,tr1
02131,Bucy-le-Long,tr4
02132,Bucy-lès-Cerny,tr4
02133,Bucy-lès-Pierrepont,tr3
02134,Buire,tr5
02135,Buironfosse,tr2
02136,Burelles,tr1
02137,Bussiares,tr3
02138,Buzancy,tr4
02139,Caillouël-Crépigny,tr2
02140,Camelin,tr2
02141,La Capelle,tr2
02142,Castres,tr4
02143,Le Catelet,tr3
02144,Caulaincourt,tr4
02145,Caumont,tr2
02146,Celles-lès-Condé,tr2
02148,Celles-sur-Aisne,tr3
02149,Cerizy,tr4
02150,Cerny-en-Laonnois,tr1
02151,Cerny-lès-Bucy,tr4
02152,Cerseuil,tr1
02153,Cessières-Suzy,tr4
02154,Chacrise,tr3
02155,Chaillevois,tr4
02156,Chalandry,tr4
02157,Chambry,tr5
02158,Chamouille,tr4
02159,Champs,tr1
02160,Chaourse,tr2
02162,La Chapelle-sur-Chézy,tr3
02163,Charly-sur-Marne,tr5
02164,Le Charmel,tr2
02165,Charmes,tr5
02166,Chartèves,tr2
02167,Chassemy,tr3
02168,Château-Thierry,tr5
02169,Châtillon-lès-Sons,tr1
02170,Châtillon-sur-Oise,tr3
02171,Chaudardes,tr4
02172,Chaudun,tr3
02173,Chauny,tr5
02174,Chavignon,tr3
02175,Chavigny,tr3
02176,Chavonne,tr3
02177,Chérêt,tr4
02178,Chermizy-Ailles,tr3
02179,Chéry-Chartreuve,tr4
02180,Chéry-lès-Pouilly,tr4
02181,Chéry-lès-Rozoy,tr1
02182,Chevennes,tr2
02183,Chevregny,tr3
02184,Chevresis-Monceau,tr2
02185,Chézy-en-Orxois,tr3
02186,Chézy-sur-Marne,tr3
02187,Chierry,tr5
02188,Chigny,tr1
02189,Chivres-en-Laonnois,tr3
02190,Chivres-Val,tr4
02191,Chivy-lès-Étouvelles,tr4
02192,Chouy,tr3
02193,Cierges,tr1
02194,Cilly,tr1
02195,Ciry-Salsogne,tr4
02196,Clacy-et-Thierret,tr4
02197,Clairfontaine,tr1
02198,Clamecy,tr4
02199,Clastres,tr4
02200,Clermont-les-Fermes,tr1
02201,Cœuvres-et-Valsery,tr2
02203,Coincy,tr2
02204,Coingt,tr1
02205,Colligis-Crandelain,tr4
02206,Colonfay,tr1
02207,Commenchon,tr2
02208,Concevreux,tr4
02209,Condé-en-Brie,tr2
02210,Condé-sur-Aisne,tr3
02211,Condé-sur-Suippe,tr4
02212,Condren,tr5
02213,Connigis,tr2
02214,Contescourt,tr4
