Code Commune,Nom Commune,Niveau de vie Commune,Niveau de vie Département
10081,La Chapelle-Saint-Luc,14810.666667,18936.851855
64047,Arnéguy,14815.769231,20478.793359
43178,Saint-Didier-sur-Doulon,14825.6,19098.534035
23171,Sermur,14826.833333,17706.664212
47311,Tourliac,14827.5,18468.493
59249,Fourmies,14827.777778,18710.357368
66019,Bélesta,14834.095238,17813.436856
11423,Villefloure,14842.666667,17599.733068
27701,Val-de-Reuil,14846.0,20104.929531
16403,Le Vieux-Cérier,14846.5,19132.751584
12233,Saint-Juéry,14849.5,19069.431052
24389,Saint-Cirq,14851.666667,18687.801987
86011,Asnières-sur-Blour,14858.695652,19527.047285
15208,Saint-Projet-de-Salers,14862.0,18692.766897
26306,Sainte-Jalle,14862.222222,19300.504181
34006,Aigne,14865.333333,18686.160053
82078,Labastide-de-Penne,14870.769231,18637.543811
11045,Bouriège,14878.0,17599.733068
66103,Marquixanes,14878.0,17813.436856
23105,Lavaveix-les-Mines,14881.428571,17706.664212
17177,Le Gicq,14886.0,19676.945602
23204,Saint-Julien-le-Châtel,14892.0,17706.664212
18260,Tendron,14895.714286,19395.293282
23261,Viersat,14902.0,17706.664212
36223,Tilly,14905.333333,18807.629787
09005,Aleu,14913.928571,18463.189424
09158,Lasserre,14914.285714,18463.189424
24306,Nastringues,14914.666667,18687.801987
23109,Linard,14917.0,17706.664212
66193,Serdinya,14921.333333,17813.436856
12014,Aurelle-Verlac,14928.4,19069.431052
17324,Saint-Dizant-du-Bois,14931.666667,19676.945602
10167,Grandville,14934.347826,18936.851855
02666,Rozoy-sur-Serre,14935.0,18111.48719
69256,Vaulx-en-Velin,14937.826087,21695.369674
05048,L'Épine,14940.0,19202.51648
23012,Auriat,14942.8,17706.664212
24062,Bouteilles-Saint-Sébastien,14945.483871,18687.801987
07244,Saint-Jean-Chambre,14946.0,19028.097092
43168,Saint-Arcons-de-Barges,14948.4,19098.534035
31365,Montbrun-Bocage,14949.0,21665.58377
80440,Hiermont,14952.857143,18766.226792
23190,Saint-Domet,14953.666667,17706.664212
07213,Saint-André-Lachamp,14954.5,19028.097092
66137,Le Perthus,14961.37931,17813.436856
43220,Saint-Préjet-d'Allier,14964.5,19098.534035
11251,Montlaur,14970.47619,17599.733068
80060,Béalcourt,14978.0,18766.226792
61066,Buré,14985.0,18491.522533
77305,Montereau-Fault-Yonne,14986.060606,22056.478049
59271,Grande-Synthe,14987.916667,18710.357368
71098,Charbonnat,14989.166667,19250.591565
59136,Le Cateau-Cambrésis,14994.666667,18710.357368
07187,Prunet,15000.0,19028.097092
2B320,Tallone,15000.5,18016.138123
2B340,Velone-Orneto,15002.0,18016.138123
63292,Puy-Saint-Gulmier,15006.428571,20539.456261
81221,Rayssac,15006.666667,19094.667744
81183,Mont-Roc,15022.608696,19094.667744
49122,Dénezé-sous-le-Lude,15025.333333,19465.382893
07224,Saint-Cirgues-en-Montagne,15025.6,19028.097092
30037,Bessèges,15028.125,18282.543539
30198,Les Plantiers,15033.0,18282.543539
59205,Escaudain,15033.0,18710.357368
63191,Lastic,15033.2,20539.456261
02381,Hirson,15034.0,18111.48719
65329,Nistos,15042.833333,19141.757709
64011,Aincille,15043.333333,20478.793359
15081,Jou-sous-Monjou,15044.5,18692.766897
43006,Ally,15046.666667,19098.534035
24431,Saint-Julien-de-Crempse,15047.2,18687.801987
66116,Montferrer,15051.333333,17813.436856
62246,Coupelle-Neuve,15052.0,17738.487318
12228,Saint-Izaire,15057.0,19069.431052
23249,Saint-Yrieix-la-Montagne,15059.52381,17706.664212
24123,Clermont-de-Beauregard,15061.333333,18687.801987
34317,La Vacquerie-et-Saint-Martin-de-Castries,15068.8,18686.160053
16059,Brettes,15069.782609,19132.751584
11125,Embres-et-Castelmaure,15074.0,17599.733068
12304,Vitrac-en-Viadène,15081.25,19069.431052
2A118,Fozzano,15082.5,19525.21681
15097,Lastic,15084.0,18692.766897
70308,La Longine,15085.224,18851.05608
17374,Sainte-Même,15086.25,19676.945602
22124,Lescouët-Gouarec,15090.0,19902.509817
08373,Rumigny,15090.8,17982.891628
30322,Soudorgues,15100.0,18282.543539
62447,Hesdin,15106.923077,17738.487318
62498,Lens,15108.0,17738.487318
26154,Lachau,15108.666667,19300.504181
31190,Fos,15109.230769,21665.58377
09097,Clermont,15109.52381,18463.189424
11004,Alaigne,15110.0,17599.733068
11336,Sainte-Colombe-sur-l'Hers,15110.0,17599.733068
09059,Bonac-Irazein,15110.0,18463.189424
50152,Les Cresnays,15118.214286,19256.184487
12017,Ayssènes,15124.0,19069.431052
15214,Saint-Saury,15124.666667,18692.766897
08277,Marlemont,15126.666667,17982.891628
08409,Sedan,15132.0,17982.891628
59292,Haveluy,15136.0,18710.357368
16182,Lesterps,15136.5,19132.751584
16239,Mouzon,15139.2,19132.751584
24247,Lusignac,15142.666667,18687.801987
2B058,Canari,15143.666667,18016.138123
15107,Lorcières,15144.75,18692.766897
93039,L'Île-Saint-Denis,15145.769231,17192.209405
62050,Auchy-lès-Hesdin,15147.0,17738.487318
15206,Saint-Pierre,15148.095238,18692.766897
2A026,Azilone-Ampaza,15150.666667,19525.21681
59253,Fresnes-sur-Escaut,15155.333333,18710.357368
59311,Honnechy,15156.666667,18710.357368
12269,La Serre,15161.333333,19069.431052
46279,Saint-Maurice-en-Quercy,15163.333333,19270.67338
62510,Liévin,15163.6,17738.487318
24163,Étouars,15165.583333,18687.801987
45068,Châlette-sur-Loing,15169.230769,20529.313388
50088,Brouains,15170.333333,19256.184487
30025,Aumessas,15174.0,18282.543539
56099,Langoëlan,15174.0,20250.673341
66187,Saint-Paul-de-Fenouillet,15174.666667,17813.436856
63220,Mazoires,15176.02381,20539.456261
15051,Clavières,15176.8,18692.766897
34055,Castanet-le-Haut,15179.833333,18686.160053
43222,Saint-Privat-du-Dragon,15188.0,19098.534035
79140,Hanc,15194.347826,19393.711247
04032,Braux,15196.666667,19008.420673
11146,Floure,15200.434783,17599.733068
62133,Billy-Montigny,15201.428571,17738.487318
81019,Assac,15201.73913,19094.667744
50405,Le Plessis-Lastelle,15206.190476,19256.184487
07121,Lachapelle-Graillouse,15214.0,19028.097092
2A200,Palneca,15215.333333,19525.21681
08323,La Neuville-lès-Wasigny,15216.0,17982.891628
43256,Venteuges,15219.52381,19098.534035
66169,Saint-Arnac,15221.6,17813.436856
63377,Saint-Maurice-près-Pionsat,15221.666667,20539.456261
59112,Bruay-sur-l'Escaut,15224.75,18710.357368
48001,Albaret-le-Comtal,15225.238095,18756.660112
46278,Saint-Matré,15226.666667,19270.67338
12037,Broquiès,15228.571429,19069.431052
55310,Luzy-Saint-Martin,15229.333333,19025.08246
82077,Labarthe,15230.0,18637.543811
62194,Calonne-Ricouart,15234.0,17738.487318
52047,Beurville,15234.666667,18611.899105
23159,Puy-Malsignat,15235.5,17706.664212
23026,Bord-Saint-Georges,15236.153846,17706.664212
52318,Melay,15237.0,18611.899105
32141,Gaujan,15238.0,19445.48797
11128,Escueillens-et-Saint-Just-de-Bélengard,15238.333333,17599.733068
63028,Bagnols,15239.0,20539.456261
66118,Montner,15244.761905,17813.436856
16264,Pleuville,15245.333333,19132.751584
23139,Moutier-Malcard,15246.0,17706.664212
34030,Berlou,15247.391304,18686.160053
58289,Ternant,15254.4,18835.593964
02031,Aubenton,15256.0,18111.48719
33450,Saint-Michel-de-Castelnau,15258.8,20905.253619
62095,Beaumetz-lès-Aire,15260.0,17738.487318
62160,Boulogne-sur-Mer,15260.0,17738.487318
24465,Saint-Michel-de-Double,15260.0,18687.801987
02361,Guise,15266.805556,18111.48719
64528,Suhescun,15268.0,20478.793359
11323,Roquetaillade,15271.5,17599.733068
43059,La Chapelle-Geneste,15272.0,19098.534035
2B346,Vescovato,15275.454545,18016.138123
50131,Chérencé-le-Roussel,15275.5,19256.184487
24052,Bouillac,15278.571429,18687.801987
22092,Kerpert,15280.833333,19902.509817
02079,Besmont,15282.666667,18111.48719
23144,La Nouaille,15283.5,17706.664212
16161,Guizengeard,15286.0,19132.751584
58140,Larochemillay,15288.666667,18835.593964
15129,Montboudif,15289.333333,18692.766897
15106,Lieutadès,15290.0,18692.766897
80438,Heudicourt,15290.0,18766.226792
03147,Loddes,15290.0,18828.862338
46328,Varaire,15291.333333,19270.67338
23010,Augères,15292.0,17706.664212
62065,Avion,15298.095238,17738.487318
12186,Pousthomy,15300.0,19069.431052
06110,Roubion,15302.555556,20306.876419
66125,Olette,15304.4,17813.436856
34032,Béziers,15305.0,18686.160053
11167,Gramazie,15306.0,17599.733068
43160,Rauret,15310.0,19098.534035
87160,Saint-Léger-Magnazeix,15310.0,19304.985956
62724,Rouvroy,15311.304348,17738.487318
09061,Les Bordes-sur-Arize,15312.0,18463.189424
11173,Hounoux,15314.776786,17599.733068
11035,Belvianes-et-Cavirac,15315.666667,17599.733068
66111,Montalba-le-Château,15316.666667,17813.436856
23042,Ceyroux,15317.0,17706.664212
15104,Leynhac,15320.0,18692.766897
70573,La Voivre,15320.8,18851.05608
30307,Les Salles-du-Gardon,15321.904762,18282.543539
63274,Perpezat,15323.333333,20539.456261
24367,Saint-André-de-Double,15324.611111,18687.801987
24386,Saint-Cernin-de-l'Herm,15325.0,18687.801987
16065,Brillac,15325.333333,19132.751584
04214,Tartonne,15329.0,19008.420673
26308,Saint-Julien-en-Quint,15333.5,19300.504181
63025,Ayat-sur-Sioule,15335.0,20539.456261
62270,Divion,15335.6,17738.487318
07151,Mars,15335.833333,19028.097092
69199,Saint-Fons,15336.0,21695.369674
54540,Val-et-Châtillon,15337.0,20148.048011
50022,Aumeville-Lestre,15341.590909,19256.184487
34188,Olmet-et-Villecun,15341.769231,18686.160053
55170,Écurey-en-Verdunois,15344.642857,19025.08246
12268,Sénergues,15346.666667,19069.431052
85136,Marillet,15347.692308,19684.178482
24263,Mazeyrolles,15347.916667,18687.801987
34141,La Livinière,15348.0,18686.160053
53272,Villepail,15348.0,19237.04487
11242,Montclar,15349.047619,17599.733068
43156,Présailles,15352.4,19098.534035
49173,Lasse,15354.0,19465.382893
11037,Berriac,15355.714286,17599.733068
59008,Aniche,15355.714286,18710.357368
70279,Gray,15358.5,18851.05608
11126,Escales,15361.333333,17599.733068
12149,Montclar,15364.833333,19069.431052
64441,Pagolle,15365.333333,20478.793359
25113,Chamesey,15366.333333,20760.808968
07148,Malbosc,15366.666667,19028.097092
23147,Nouzerolles,15367.222222,17706.664212
31376,Montgaillard-de-Salies,15368.333333,21665.58377
11342,Saint-Frichoux,15370.47619,17599.733068
06132,Saorge,15371.153846,20306.876419
22037,La Chapelle-Neuve,15371.333333,19902.509817
11036,Belvis,15372.5,17599.733068
59079,Beuvrages,15372.777778,18710.357368
23198,Saint-Georges-Nigremont,15374.666667,17706.664212
2B086,Centuri,15375.384615,18016.138123
80737,Sorel,15377.777778,18766.226792
87055,Darnac,15378.166667,19304.985956
59394,Maurois,15379.047619,18710.357368
78361,Mantes-la-Jolie,15379.047619,26305.343074
33520,Taillecavat,15383.2,20905.253619
62765,Saint-Omer,15384.5,17738.487318
11157,Fraissé-des-Corbières,15385.666667,17599.733068
88052,Belrupt,15386.0,18846.767927
42183,La Ricamarie,15386.0,19175.50605
30329,Thoiras,15389.354839,18282.543539
52149,Courcelles-sur-Blaise,15391.782609,18611.899105
04101,Lardiers,15392.666667,19008.420673
94078,Villeneuve-Saint-Georges,15396.923077,22313.927141
23108,Leyrat,15398.833333,17706.664212
66231,Vingrau,15399.02439,17813.436856
04150,Piégut,15399.5,19008.420673
24216,La Jemaye,15400.5,18687.801987
46255,Saint-Cirgues,15403.333333,19270.67338
11050,Brenac,15404.0,17599.733068
23253,Thauron,15404.0,17706.664212
24488,Saint-Pompont,15407.777778,18687.801987
23102,Ladapeyre,15411.0,17706.664212
04022,Barrême,15411.5,19008.420673
02641,Renneval,15412.0,18111.48719
62809,Ternas,15415.0,17738.487318
12029,Bor-et-Bar,15415.3,19069.431052
59651,Wavrechain-sous-Denain,15415.416667,18710.357368
16128,Épenède,15416.333333,19132.751584
09023,Ascou,15419.5,18463.189424
43210,Saint-Martin-de-Fugères,15420.0,19098.534035
62628,Noyelles-sous-Lens,15433.5,17738.487318
59179,Douchy-les-Mines,15434.230769,18710.357368
62060,Auxi-le-Château,15438.0,17738.487318
24531,Sergeac,15441.904762,18687.801987
30268,Saint-Jean-de-Valériscle,15442.0,18282.543539
34190,Oupia,15442.608696,18686.160053
68224,Mulhouse,15444.285714,21890.794724
02256,Dagny-Lambercy,15446.666667,18111.48719
23205,Saint-Junien-la-Bregère,15451.458333,17706.664212
21083,Blanot,15452.666667,20875.574546
62304,Erny-Saint-Julien,15453.636364,17738.487318
04077,Entrevennes,15455.0,19008.420673
26263,Reilhanette,15457.0,19300.504181
30190,Notre-Dame-de-la-Rouvière,15457.333333,18282.543539
24434,Saint-Just,15459.5,18687.801987
46048,Calviac,15461.428571,19270.67338
48145,Saint-Denis-en-Margeride,15461.6,18756.660112
15260,Vieillevie,15462.068966,18692.766897
08440,Tarzy,15462.857143,17982.891628
63053,Briffons,15466.0,20539.456261
24399,Saint-Étienne-de-Puycorbier,15468.333333,18687.801987
43072,La Chomette,15468.571429,19098.534035
07154,Mazan-l'Abbaye,15470.666667,19028.097092
71008,Anglure-sous-Dun,15472.0,19250.591565
62178,Bruay-la-Buissière,15474.0,17738.487318
16157,Le Grand-Madieu,15474.642857,19132.751584
79212,Pliboux,15474.666667,19393.711247
50195,Gathemo,15475.333333,19256.184487
23062,Chéniers,15476.111111,17706.664212
82092,Lapenche,15478.0,18637.543811
23087,Fresselines,15478.5,17706.664212
89020,Asnières-sous-Bois,15483.333333,19359.908486
34306,Soumont,15484.0,18686.160053
50245,Heussé,15484.0,19256.184487
86063,Chatain,15484.0,19527.047285
59591,Thivencelle,15485.333333,18710.357368
43065,Chastel,15486.576923,19098.534035
17352,Saint-Laurent-de-la-Barrière,15488.333333,19676.945602
24151,Doissat,15489.52381,18687.801987
25057,Bethoncourt,15490.0,20760.808968
62325,Fauquembergues,15490.666667,17738.487318
16118,Deviat,15495.043478,19132.751584
88208,Godoncourt,15495.333333,18846.767927
