bv2012_code,bv2012_name,com_uu2020_status
76540,Rouen,unité urbaine
76384,Lillebonne,unité urbaine
76034,Val-de-Scie,hors unité urbaine
76400,Luneray,unité urbaine
76351,Le Havre,unité urbaine
76219,Doudeville,hors unité urbaine
76540,Rouen,unité urbaine
76057,Barentin,hors unité urbaine
76034,Val-de-Scie,hors unité urbaine
76462,Neufchâtel-en-Bray,hors unité urbaine
76540,Rouen,hors unité urbaine
76655,Saint-Valery-en-Caux,hors unité urbaine
76540,Rouen,unité urbaine
76400,Luneray,hors unité urbaine
76462,Neufchâtel-en-Bray,hors unité urbaine
76540,Rouen,unité urbaine
76648,Saint-Saëns,unité urbaine
76648,Saint-Saëns,unité urbaine
76647,Saint-Romain-de-Colbosc,hors unité urbaine
76219,Doudeville,hors unité urbaine
77088,La Chapelle-la-Reine,hors unité urbaine
77305,Montereau-Fault-Yonne,hors unité urbaine
78531,Rosny-sur-Seine,unité urbaine
28279,Nogent-le-Roi,hors unité urbaine
78380,Maule,hors unité urbaine
78380,Maule,unité urbaine
75056,Paris,hors unité urbaine
78265,Garancières - La Queue-les-Yvelines,hors unité urbaine
79191,Niort,unité urbaine
79329,Thouars,hors unité urbaine
79195,Nueil-les-Aubiers,hors unité urbaine
79270,Saint-Maixent-l'École,hors unité urbaine
79191,Niort,unité urbaine
79101,Coulonges-sur-l'Autize,hors unité urbaine
80620,Péronne,hors unité urbaine
80016,Albert,hors unité urbaine
80620,Péronne,hors unité urbaine
80368,Friville-Escarbotin,hors unité urbaine
80253,Doullens,hors unité urbaine
80620,Péronne,hors unité urbaine
80021,Amiens,unité urbaine
80620,Péronne,hors unité urbaine
80630,Poix-de-Picardie,hors unité urbaine
76101,Blangy-sur-Bresle,hors unité urbaine
80620,Péronne,hors unité urbaine
80570,Moreuil,hors unité urbaine
80410,Ham,unité urbaine
80561,Montdidier,hors unité urbaine
80016,Albert,hors unité urbaine
80021,Amiens,unité urbaine
80620,Péronne,hors unité urbaine
80630,Poix-de-Picardie,hors unité urbaine
62060,Auxi-le-Château,hors unité urbaine
80685,Roye,hors unité urbaine
80680,Rosières-en-Santerre,hors unité urbaine
80685,Roye,hors unité urbaine
80021,Amiens,unité urbaine
80630,Poix-de-Picardie,hors unité urbaine
80016,Albert,hors unité urbaine
80001,Abbeville,hors unité urbaine
80368,Friville-Escarbotin,unité urbaine
81163,Mazamet,unité urbaine
81099,Gaillac,hors unité urbaine
81004,Albi,hors unité urbaine
81099,Gaillac,hors unité urbaine
81004,Albi,unité urbaine
81004,Albi,hors unité urbaine
81060,Carmaux,hors unité urbaine
81163,Mazamet,unité urbaine
81271,Saint-Sulpice-la-Pointe,hors unité urbaine
31106,Caraman,hors unité urbaine
81220,Rabastens,unité urbaine
81065,Castres,unité urbaine
81037,Brassac,hors unité urbaine
81099,Gaillac,hors unité urbaine
82033,Castelsarrasin,hors unité urbaine
82037,Caussade,unité urbaine
82155,Saint-Antonin-Noble-Val,hors unité urbaine
82033,Castelsarrasin,hors unité urbaine
82155,Saint-Antonin-Noble-Val,hors unité urbaine
82087,Lafrançaise,unité urbaine
82121,Montauban,unité urbaine
47106,Fumel,hors unité urbaine
82013,Beaumont-de-Lomagne,hors unité urbaine
82037,Caussade,hors unité urbaine
83116,Saint-Maximin-la-Sainte-Baume,unité urbaine
83050,Draguignan,unité urbaine
83137,Toulon,unité urbaine
83072,Lorgues,unité urbaine
83012,Barjols,hors unité urbaine
83116,Saint-Maximin-la-Sainte-Baume,unité urbaine
84007,Avignon,unité urbaine
84007,Avignon,unité urbaine
84007,Avignon,unité urbaine
84007,Avignon,unité urbaine
85226,Saint-Hilaire-de-Riez,unité urbaine
85191,La Roche-sur-Yon,hors unité urbaine
85059,La Châtaigneraie,hors unité urbaine
86294,Vouillé,hors unité urbaine
86137,Loudun,unité urbaine
86194,Poitiers,unité urbaine
86207,La Roche-Posay,hors unité urbaine
86103,Gençay,hors unité urbaine
86165,Montmorillon,hors unité urbaine
86082,Couhé,hors unité urbaine
87059,Le Dorat,hors unité urbaine
87001,Aixe-sur-Vienne,hors unité urbaine
87085,Limoges,unité urbaine
87064,Eymoutiers,hors unité urbaine
87085,Limoges,hors unité urbaine
88114,Contrexéville,hors unité urbaine
88075,La Bresse,unité urbaine
88160,Épinal,hors unité urbaine
88304,Mirecourt,hors unité urbaine
88383,Remiremont,hors unité urbaine
88090,Charmes,hors unité urbaine
88160,Épinal,hors unité urbaine
88114,Contrexéville,hors unité urbaine
88468,Le Thillot,unité urbaine
88304,Mirecourt,hors unité urbaine
88413,Saint-Dié-des-Vosges,unité urbaine
88321,Neufchâteau,hors unité urbaine
70467,Saint-Loup-sur-Semouse,hors unité urbaine
88383,Remiremont,unité urbaine
88321,Neufchâteau,hors unité urbaine
88160,Épinal,hors unité urbaine
21425,Montbard,hors unité urbaine
89025,Avallon,hors unité urbaine
89418,Tonnerre,hors unité urbaine
89387,Sens,hors unité urbaine
89419,Toucy,hors unité urbaine
89025,Avallon,hors unité urbaine
89387,Sens,unité urbaine
89024,Auxerre,hors unité urbaine
21425,Montbard,hors unité urbaine
89368,Saint-Sauveur-en-Puisaye,hors unité urbaine
89418,Tonnerre,hors unité urbaine
89345,Saint-Florentin,hors unité urbaine
89345,Saint-Florentin,hors unité urbaine
90010,Belfort,hors unité urbaine
90009,Beaucourt,hors unité urbaine
90033,Delle,hors unité urbaine
90009,Beaucourt,unité urbaine
90033,Delle,unité urbaine
90010,Belfort,hors unité urbaine
91223,Étampes,hors unité urbaine
75056,Paris,unité urbaine
91226,Étréchy,unité urbaine
91223,Étampes,hors unité urbaine
91223,Étampes,unité urbaine
91223,Étampes,unité urbaine
75056,Paris,hors unité urbaine
75056,Paris,unité urbaine
24352,Ribérac,hors unité urbaine
24223,Lalinde,unité urbaine
24037,Bergerac,hors unité urbaine
47057,Castillonnès,hors unité urbaine
33108,Castillon-la-Bataille,hors unité urbaine
24547,Terrasson-Lavilledieu,hors unité urbaine
24551,Thiviers,hors unité urbaine
24067,Le Bugue,hors unité urbaine
24520,Sarlat-la-Canéda,hors unité urbaine
24035,Belvès,hors unité urbaine
24299,Mussidan,unité urbaine
24311,Nontron,hors unité urbaine
24322,Périgueux,hors unité urbaine
24294,Montpon-Ménestérol,hors unité urbaine
24291,Montignac-Lascaux,hors unité urbaine
24291,Montignac-Lascaux,hors unité urbaine
24520,Sarlat-la-Canéda,hors unité urbaine
46225,Prayssac,hors unité urbaine
25578,Valdahon,hors unité urbaine
25315,L'Isle-sur-le-Doubs,hors unité urbaine
25356,Maîche,hors unité urbaine
70285,Héricourt,hors unité urbaine
25434,Ornans,hors unité urbaine
25578,Valdahon,hors unité urbaine
25578,Valdahon,hors unité urbaine
25578,Valdahon,hors unité urbaine
25462,Pontarlier,hors unité urbaine
70561,Villersexel,hors unité urbaine
25462,Pontarlier,hors unité urbaine
25462,Pontarlier,hors unité urbaine
25315,L'Isle-sur-le-Doubs,hors unité urbaine
25315,L'Isle-sur-le-Doubs,hors unité urbaine
25434,Ornans,hors unité urbaine
25388,Montbéliard,hors unité urbaine
25462,Pontarlier,hors unité urbaine
25047,Baume-les-Dames,hors unité urbaine
26037,Beaumont-lès-Valence,unité urbaine
26113,Die,hors unité urbaine
26108,Crest,hors unité urbaine
26114,Dieulefit,hors unité urbaine
05070,Laragne-Montéglin,hors unité urbaine
84138,Valréas,hors unité urbaine
05070,Laragne-Montéglin,hors unité urbaine
26220,Nyons,hors unité urbaine
26301,Saint-Donat-sur-l'Herbasse,hors unité urbaine
26220,Nyons,hors unité urbaine
26113,Die,hors unité urbaine
26108,Crest,hors unité urbaine
26307,Saint-Jean-en-Royans,hors unité urbaine
26362,Valence,unité urbaine
26281,Romans-sur-Isère,hors unité urbaine
26333,Saint-Vallier,hors unité urbaine
26198,Montélimar,hors unité urbaine
27467,Pont-Audemer,hors unité urbaine
27056,Bernay,hors unité urbaine
76540,Rouen,unité urbaine
14478,Orbec,hors unité urbaine
27116,Brionne,unité urbaine
61214,L'Aigle,hors unité urbaine
27165,Conches-en-Ouche,unité urbaine
27467,Pont-Audemer,hors unité urbaine
27229,Évreux,hors unité urbaine
27493,Romilly-sur-Andelle,hors unité urbaine
27467,Pont-Audemer,hors unité urbaine
27375,Louviers,unité urbaine
76540,Rouen,hors unité urbaine
